index,name,categories,postalCode,city,address,latitude,longitude,dateUpdated,websites
2526,Subway,Fast Food Restaurants,6033,Glastonbury,141 Hebron Ave,41.713.517,-7.260.557,2018-06-14T19:48:05Z,http://subway.com and http://www.subway.com
2527,Cousin's Subs,Fast Food Restaurants,53225,Milwaukee,9015 W Appleton Ave,43.111.829,-88.025.084,2018-06-14T19:47:42Z,http://www.cousinssubs.com and http://cousinssubs.com
2528,Cousin's Subs,Fast Food Restaurants,53144,Kenosha,3806 52nd St,42.588.312,-87.854.812,2018-06-14T19:47:39Z,http://www.cousinssubs.com
2529,Cousin's Subs,Fast Food Restaurants,53221,Milwaukee,6201 S 27th St,42.931.452,-87.949.468,2018-06-14T19:47:38Z,http://www.cousinssubs.com
2530,Cousin's Subs,Fast Food Restaurants,85741,Tucson,7401 N La Cholla Blvd,32.339.977,-111.015.311,2018-06-14T19:47:31Z,http://www.cousinssubs.com
2531,Subway,Fast Food Restaurants,60164,Melrose Park,165 E North Ave,41.907.023,-87.896.725,2018-06-14T19:47:20Z,http://subway.com and http://www.subway.com
2532,Subway,Fast Food Restaurant,60546,Riverside,7309 W 25th St,4.184.472,-87.813.395,2018-06-14T19:47:18Z,http://subway.com
2533,Subway,Fast Food Restaurants,60714,Niles,850 Civic Center Dr,42.025.157,-87.801.356,2018-06-14T19:47:15Z,http://www.subway.com
2534,Subway,Fast Food Restaurants,63005,Chesterfield,274 Thf Blvd,38.667.425,-9.060.092,2018-06-14T19:44:40Z,http://www.subway.com
2535,Subway,Fast Food Restaurant,65672,Hollister,14786 S State Highway 65,36.606.849,-93.233.622,2018-06-14T19:44:36Z,http://www.subway.com and http://subway.com
2536,Subway,Fast Food Restaurants,65708,Monett,825 E Us Highway 60,36.913.344,-93.914.957,2018-06-14T19:44:36Z,http://www.subway.com and http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJDJzm3-K4XkHP_IAED5zz-e3IiOLY-pWK--mIuz3oRc-rD9o4PdVkz3-5CRCztseSCwlsebbR1IRVthFTIVVkESxYFgC0yqz7moUiI8qNHLHTrCQWLQhpJS4nxG9dPF2l2JznMQ27l2z0Wp9X0k5uxThzUXQ2YH3tucFOb-yzAINQ3WAXQjSDI2WBt4bWxb7JcTnhyrt5Vi2U6AZZLhmkt_-mL_clIkdhNNiC1ziE4M6wrfFb1z1bJ4g2NIWNbhwj5fnKO8H2BRyg-rIoy6Pz2lSleMMO23c7q7vt0YJ_yGuHOI8vh4ogUH5iJqgjUI5rmER-Q8d_7jRH92h_s6rovP-IM1zm2g33&placement=listing_profile&cs_user=unknown&cs_session=9ad0aa515ca99e52de5bf323170d27a2c5286112
2537,Subway,Fast Food Restaurants,65616,Branson,2050 W 76 Country Blvd,3.663.967,-93.259.995,2018-06-14T19:44:35Z,http://www.subway.com
2538,Subway,Fast Food Restaurants,65401,Rolla,615 S Bishop Ave,37.938.161,-91.777.348,2018-06-14T19:44:32Z,http://www.subway.com and http://subway.com
2539,Fosters Freeze,Fast Food Restaurants,91502,Burbank,201 S Glenoaks Blvd,34.182.066,-118.305.205,2018-06-14T19:44:09Z,http://www.fostersfreeze.com
2540,Domino's Pizza,Fast Food Restaurants,55387,Waconia,44 W 1st St,448.495,-937.868,2018-06-14T19:42:39Z,https://www.dominos.com/en/?redirect=homepage&utm_source=yext&utm_medium=loclist&utm_campaign=localmaps and https://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps and http://www.dominos.com
2541,Domino's Pizza,Fast Food Restaurants,55379,Shakopee,224 1st Ave E,447.983,-935.252,2018-06-14T19:42:36Z,https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps and https://www.dominos.com/en/?redirect=homepage and https://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps and https://www.dominos.com/en/?redirect=homepage&utm_source=yext&utm_medium=loclist&utm_campaign=localmaps
2542,Starbucks Coffee,Coffee & Tea / Breakfast / Fast Food,78501,McAllen,1700 N 10th St,26.218.916,-98.227.419,2018-06-14T19:41:12Z,http://starbucks.com
2543,Starbucks Coffee,Coffee & Tea / Breakfast / Fast Food,79416,Lubbock,427 Slide Rd,33.592.101,-101.922.415,2018-06-14T19:41:09Z,http://starbucks.com
2544,Domino's Pizza,Fast Food Restaurants,77015,Houston,14705 Woodforest Blvd,2.979.061,-9.516.056,2018-06-14T19:40:56Z,http://dominos.com and http://www.dominos.com
2545,Domino's Pizza,Fast Food Restaurants,76710,Waco,1428 Wooded Acres Dr,31.533.789,-9.719.003,2018-06-14T19:40:55Z,http://www.dominos.com
2546,Domino's Pizza,Fast Food Restaurants,75234,Dallas,13260 Josey Ln,32.925.415,-9.688.151,2018-06-14T19:40:53Z,https://www.dominos.com/en/pages/order/menu.jsp?utm_source=locallistings&utm_medium=loclist&utm_campaign=localmaps#/menu/category/all and http://dominos.com
2547,Domino's Pizza,Fast Food Restaurants,75482,Sulphur Springs,1328 S Broadway St,331.155,-955.964,2018-06-14T19:40:53Z,https://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps and http://www.dominos.com and https://www.dominos.com/en/?redirect=homepage and https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps and https://www.dominos.com/en/?redirect=homepage&utm_source=yext&utm_medium=loclist&utm_campaign=localmaps
2548,Domino's Pizza,Fast Food Restaurants,78410,Corpus Christi,11217 Leopard St,2.784.643,-9.758.741,2018-06-14T19:40:48Z,http://dominos.com and http://www.dominos.com
2549,Domino's Pizza,Fast Food,75231,Dallas,10910 N Central Expy,32.897.366,-967.687,2018-06-14T19:40:46Z,http://www.dominos.com/ and http://dominos.com and https://www.dominos.com/en/pages/order/menu.jsp?utm_source=locallistings&utm_medium=loclist&utm_campaign=localmaps#/menu/category/all
2550,Domino's Pizza,Fast Food Restaurants,77089,Houston,10598 Fuqua St,296.112,-952.281,2018-06-14T19:40:45Z,https://www.dominos.com/en/?redirect=homepage and http://www.dominos.com/ and http://www.dominos.com
2551,Domino's Pizza,Fast Food Restaurants,79556,Sweetwater,1010 Lamar St,324.596,-100.401,2018-06-14T19:40:44Z,https://www.dominos.com/en/?redirect=homepage and https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps and https://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps and https://www.dominos.com/en/?redirect=homepage&utm_source=yext&utm_medium=loclist&utm_campaign=localmaps
2552,Domino's Pizza,Fast Food Restaurants,74066,Sapulpa,1 N Mission St,3.599.972,-96.098.816,2018-06-14T19:40:42Z,https://www.dominos.com/en/?redirect=homepage and https://www.dominos.com/en/?redirect=homepage&utm_source=yext&utm_medium=loclist&utm_campaign=localmaps and https://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps
2553,Burger King,Fast Food Restaurant and Burger Joint,12561,New Paltz,238 Main St,41.743.814,-74.072.672,2018-06-14T19:40:38Z,http://www.bk.com and http://bk.com
2554,Burger King,Fast Food Restaurant,10549,Mount Kisco,230 N Bedford Rd,41.215.869,-73.719.627,2018-06-14T19:40:36Z,http://www.bk.com
2555,Burger King,Fast Food Restaurant,10956,New City,164 S Main St,41.141.787,-73.990.441,2018-06-14T19:40:36Z,http://www.bk.com
